,x
1,MTOR
2,CDK4
3,CDK6
4,PIK3CA
5,EGFR
6,ERBB2
7,VEGFA
8,VEGFB
9,VEGFC
10,VEGFD
11,CD22
12,CD19
13,CD33
14,CD38
15,CD52
16,ALK
17,ROS1
18,BRAF
19,MAPK1
20,MAPK8
21,MAPK9
22,MAPK14
23,MAPK7
24,MAPK6
25,MAPK3
26,MAPK13
27,MAPK10
28,MAPK11
29,MAPK12
30,MAPK4
31,MAPK15
32,NTRK2
33,NTRK1
34,NTRK3
35,JAK1
36,JAK2
37,TNFSF11
38,IDH2
39,AXL
40,HDAC6
41,HDAC2
42,HDAC3
43,HDAC1
44,HDAC4
45,HDAC5
46,HDAC7
47,HDAC10
48,HDAC8
49,HDAC9
50,HDAC11
51,MAP2K1
52,BCL2
53,BTK
54,CCR4
55,PDGFRA
56,SMO
57,PSMB5
58,FGFR2
59,FGFR3
60,FGFR1
61,FGFR4
62,SLAMF7
63,EZH2
64,KIT
65,PARP9
66,PARP1
67,PARP2
68,PARP14
69,PARP8
70,PARP16
71,PARP10
72,PARP12
73,PARP3
74,PARP4
75,PARP11
76,PARP15
